total_protein,total_keratine,hair_texture,vitamin,manganese,iron,calcium,body_water_content,stress_level,liver_data,hair_fall
341,284,79,407,433,46,34,22,31,149,1
34,109,25,485,468,359,155,15,60,83,1
123,60,77,260,311,219,164,80,27,3,3
128,64,82,335,213,212,91,6,59,474,2
7,200,30,403,234,130,353,21,19,144,5
396,54,23,385,273,300,472,54,6,179,4
479,291,60,490,319,193,147,62,61,264,0
11,6,27,197,59,216,300,63,62,366,2
350,491,52,335,161,135,43,30,49,299,3
172,82,86,88,153,154,12,21,28,244,4
18,5,43,143,178,3,179,52,6,330,4
131,127,94,46,369,71,126,97,35,141,5
281,106,16,166,372,147,439,79,89,67,2
390,438,18,267,145,69,222,8,55,382,5
467,199,24,210,364,336,328,94,57,1,1
361,420,96,437,444,83,498,73,8,50,0
284,456,79,263,464,414,222,39,48,279,5
452,343,85,195,375,433,67,74,76,340,5
11,156,6,443,329,17,381,50,39,276,4
210,441,62,138,406,193,103,87,66,69,5
496,128,80,408,166,269,136,24,69,493,1
33,230,36,247,427,157,128,34,67,488,1
41,11,5,29,138,150,406,95,14,476,2
484,440,91,410,398,99,268,94,78,391,3
133,396,69,458,496,196,430,22,95,35,4
326,67,89,222,256,324,7,23,45,209,0
39,394,68,288,344,422,111,42,21,164,2
314,337,10,131,296,93,93,52,69,211,0
357,456,2,166,229,471,469,99,79,297,0
195,69,37,208,279,311,470,60,92,234,5
479,361,13,181,262,321,338,37,36,104,5
109,86,32,40,461,294,460,27,71,293,1
275,496,91,31,160,50,32,31,42,242,2
50,210,55,43,85,280,379,3,57,493,2
175,47,62,0,164,306,332,72,12,287,5
293,186,35,4,161,107,131,12,20,213,2
426,195,48,261,101,311,437,5,92,435,2
227,389,35,225,194,281,280,30,14,215,2
9,27,67,101,420,5,454,29,31,420,1
114,274,17,399,307,489,482,10,41,253,0
417,282,46,265,267,395,301,51,2,240,5
474,372,11,255,378,303,220,8,10,48,4
499,460,78,423,135,429,74,14,43,411,4
160,305,66,408,196,58,329,1,48,258,0
446,379,8,410,210,191,181,14,37,237,2
94,78,93,93,277,305,235,21,95,496,2
345,405,59,420,40,483,318,2,68,103,3
186,437,61,251,223,414,471,23,46,106,2
119,100,64,182,312,288,4,7,28,18,3
18,180,58,494,429,361,177,14,28,464,5
144,85,82,108,180,301,193,43,10,416,4
169,438,5,360,15,239,250,23,61,483,5
13,130,88,139,177,429,20,66,4,363,5
389,304,71,36,286,27,214,38,93,429,3
263,390,41,376,415,494,150,80,60,469,5
180,468,71,430,412,107,465,96,78,235,3
232,386,64,373,228,177,290,85,70,124,0
163,129,68,61,384,64,306,57,28,53,1
366,432,49,486,21,417,489,66,17,402,5
327,370,14,10,330,457,268,37,84,348,2
309,140,94,125,88,358,244,21,3,0,1
408,66,18,143,34,95,442,5,0,196,5
424,220,38,227,449,365,85,19,36,29,2
268,481,92,76,11,424,392,33,14,239,5
451,415,48,172,183,427,472,10,21,221,1
376,463,97,193,338,456,1,85,68,322,4
9,287,81,6,405,158,497,69,73,483,3
130,164,67,100,192,369,309,93,87,240,2
66,386,61,154,136,354,232,83,56,71,2
152,401,65,156,241,381,110,41,36,320,5
82,76,74,9,444,344,127,57,21,327,4
177,159,85,116,90,209,188,46,38,171,0
185,416,90,209,368,280,145,85,75,61,1
86,440,0,322,1,344,46,35,7,64,2
214,98,53,137,448,210,474,82,3,213,1
103,252,89,124,194,332,28,76,11,33,4
334,42,44,63,41,5,199,44,17,342,0
351,453,26,175,3,267,210,21,39,89,3
395,266,94,217,372,121,434,19,88,281,5
458,414,15,480,57,227,212,54,60,407,5
211,237,56,234,34,216,331,54,13,247,3
193,274,30,156,129,403,378,62,56,397,1
387,20,82,380,269,414,67,17,52,235,3
111,115,99,338,404,173,218,8,60,105,1
162,97,91,432,64,24,377,46,53,239,4
315,119,32,454,490,406,478,58,15,49,2
245,234,78,301,60,11,16,16,21,437,5
197,206,9,362,101,197,216,24,25,181,0
349,29,8,169,124,241,76,76,9,245,0
421,396,60,304,321,204,151,77,36,102,3
327,414,83,338,321,389,421,6,21,442,0
95,174,56,63,331,38,403,70,79,397,1
265,42,60,386,208,334,470,99,14,482,1
233,464,25,402,418,4,299,45,90,373,2
397,107,14,167,498,457,430,89,13,106,2
97,206,39,57,412,416,123,29,14,132,1
8,8,95,48,352,303,121,41,57,209,2
353,499,76,59,266,353,372,21,99,45,3
199,110,85,240,196,317,383,76,32,92,0
282,308,85,230,494,456,20,53,62,366,1
320,32,9,332,103,90,83,0,26,443,3
57,162,48,374,23,318,309,49,64,116,0
316,133,82,431,431,285,423,95,74,107,0
302,354,71,401,389,50,313,71,97,286,0
62,299,50,94,482,361,97,77,27,425,4
38,214,90,205,246,400,403,34,85,171,5
422,192,74,123,434,263,37,43,7,449,1
404,135,32,40,214,9,280,98,11,151,0
339,14,20,127,87,2,132,33,74,439,1
349,250,69,139,270,370,489,6,74,262,2
494,192,78,351,332,259,85,4,26,55,4
265,76,36,382,190,280,106,10,78,199,1
456,90,13,313,342,320,353,99,25,425,0
414,372,83,333,294,297,80,50,25,488,1
325,14,56,486,432,58,8,72,51,475,0
206,329,49,75,2,163,216,42,73,265,0
289,240,97,266,49,163,23,62,56,423,0
403,44,71,387,139,5,19,28,47,353,2
82,73,11,428,408,238,437,16,58,208,4
157,429,66,192,52,150,251,27,79,58,4
310,407,47,190,258,94,244,65,51,91,4
242,376,15,224,124,147,229,18,1,384,0
200,299,57,234,191,267,370,25,95,168,5
222,235,86,187,486,406,441,75,59,414,0
385,311,44,179,92,398,472,6,54,25,5
283,401,5,384,159,50,142,84,16,175,4
367,484,76,245,59,359,78,98,41,236,3
289,424,88,306,369,370,275,99,30,123,0
225,227,8,30,449,113,150,17,72,179,2
249,136,91,446,345,472,457,86,69,224,5
269,152,39,207,48,42,188,28,92,345,1
297,373,73,159,17,154,482,12,38,106,4
314,300,55,342,408,167,180,35,35,312,3
266,307,22,250,420,143,477,88,23,305,4
286,314,52,449,447,445,181,52,58,142,0
451,322,33,104,466,132,372,69,96,398,1
436,413,81,447,15,340,481,95,95,139,4
88,76,30,214,252,160,186,98,27,75,3
205,453,99,359,499,6,70,96,4,101,0
66,248,16,243,51,240,73,94,7,485,5
200,469,78,460,43,322,469,11,56,349,3
432,206,54,383,300,96,326,60,29,41,3
332,67,30,79,387,97,167,9,35,350,1
469,275,64,90,77,130,497,13,63,233,5
460,237,0,145,217,278,387,1,75,410,1
71,390,11,25,152,356,274,35,24,352,1
165,373,42,127,290,338,4,17,0,495,2
7,18,71,79,352,2,26,37,85,36,5
160,183,28,494,401,105,82,75,66,66,5
364,369,11,341,289,398,149,42,58,461,3
257,96,28,368,119,201,121,25,97,346,5
236,428,27,180,355,116,317,25,69,477,5
139,327,59,306,483,177,306,83,94,125,3
254,488,24,343,357,252,171,30,55,123,3
176,18,40,317,17,484,183,93,46,260,0
382,375,86,3,289,366,422,49,90,479,3
151,154,56,76,290,310,123,81,21,276,2
490,347,29,223,186,299,395,60,49,427,0
493,295,89,418,415,121,117,88,33,98,4
416,216,5,395,390,169,423,55,68,5,5
15,201,69,248,209,334,246,98,20,150,1
250,406,17,108,144,205,338,14,41,329,2
42,258,92,327,157,464,388,28,79,434,5
277,136,41,343,462,265,237,21,90,270,1
177,263,41,198,11,406,6,16,67,106,0
207,76,9,469,9,143,54,40,43,191,0
408,32,39,191,171,321,1,12,74,357,0
302,347,36,377,235,12,187,84,54,236,4
184,376,79,286,147,152,82,61,64,120,3
434,278,88,206,180,159,329,89,63,396,4
263,172,13,176,186,425,221,57,53,339,5
3,62,0,230,254,16,163,27,88,124,0
455,139,28,444,107,274,466,8,2,151,5
449,295,23,208,88,208,380,27,55,371,5
42,426,39,5,83,483,271,58,13,356,5
298,156,3,472,157,431,28,25,69,124,4
98,424,79,398,460,67,222,41,23,421,0
263,318,65,319,204,476,16,38,81,223,0
234,53,99,208,498,264,450,71,66,452,0
168,339,85,377,19,471,29,65,58,285,5
98,317,61,424,95,228,80,77,48,13,4
90,467,73,46,446,57,110,84,29,124,0
137,449,5,256,365,446,261,6,9,146,4
6,437,78,295,160,159,232,54,40,189,2
334,372,19,185,236,220,199,80,40,493,5
495,259,39,419,211,177,330,9,12,396,2
498,212,81,316,469,15,370,55,73,482,3
160,317,9,275,265,150,27,64,99,185,2
23,367,51,326,459,55,35,83,84,407,2
229,330,30,235,420,318,154,78,19,41,5
81,11,56,340,154,479,237,23,45,82,0
245,317,90,133,300,411,257,44,35,481,3
243,41,38,275,196,71,224,89,55,268,1
264,224,49,286,319,306,486,20,31,471,5
252,196,51,216,7,124,316,94,45,412,3
302,116,9,75,321,164,240,59,91,453,5
218,293,5,111,321,489,231,79,10,406,3
341,219,37,54,131,47,320,7,99,152,5
247,110,24,39,186,282,80,62,86,173,1
469,19,30,330,17,404,49,67,49,367,3
234,391,60,10,92,279,268,30,68,53,2
301,195,23,315,205,108,228,41,42,23,0
264,136,32,298,101,125,479,34,32,148,0
61,287,76,51,307,59,59,51,92,154,2
395,60,12,424,346,394,192,37,20,431,2
423,278,71,256,54,368,294,0,58,198,1
82,136,30,148,129,374,174,82,87,350,5
293,168,52,497,489,74,154,58,53,89,5
368,385,20,59,164,372,62,52,97,127,0
379,173,18,369,472,138,229,21,26,499,5
111,122,74,109,219,191,107,18,10,29,3
493,274,86,472,325,220,92,15,97,219,2
153,447,82,72,169,267,251,5,22,477,4
173,321,36,253,297,245,362,88,83,96,3
117,196,23,131,48,494,205,19,16,497,3
401,346,32,23,200,343,157,26,62,404,2
411,186,4,299,355,156,133,31,45,298,1
258,139,81,208,152,170,112,63,27,91,3
298,392,32,8,22,145,274,82,4,74,2
24,69,31,99,361,68,207,4,44,465,1
248,77,77,236,458,264,309,92,86,165,5
255,186,76,398,25,333,252,8,14,432,5
115,163,5,24,23,35,366,39,98,7,0
130,293,60,51,202,49,154,74,50,398,3
135,430,78,104,331,461,474,71,94,337,2
293,21,96,188,313,12,70,45,38,368,0
470,341,39,222,165,258,125,50,81,101,4
136,55,68,76,451,18,174,81,9,100,2
396,266,52,79,103,137,311,83,39,357,2
444,167,36,376,190,68,21,27,59,201,5
414,76,80,35,346,28,456,14,34,380,0
304,191,58,253,48,437,246,76,95,264,0
399,405,30,385,88,47,84,96,87,300,2
478,37,0,206,255,418,352,73,57,76,1
439,304,2,116,316,134,25,98,96,118,1
111,162,43,139,239,305,341,70,52,96,5
252,325,47,47,172,118,423,12,87,120,2
269,263,80,298,82,354,288,88,50,264,1
25,178,10,56,79,5,389,38,26,107,5
203,128,70,90,326,293,167,62,91,205,2
17,472,25,295,266,437,378,10,3,99,2
251,45,21,285,76,218,52,45,58,13,0
459,23,54,283,440,348,477,24,49,152,2
358,291,26,482,497,426,398,78,90,144,4
452,376,57,193,184,12,73,78,99,38,0
326,155,89,12,90,300,385,5,46,421,4
393,67,48,73,29,6,354,58,30,350,3
453,42,45,415,344,19,64,22,93,59,3
462,450,25,183,55,215,81,61,23,408,4
140,87,58,173,143,348,159,23,19,342,3
380,234,68,123,54,415,440,66,63,299,5
223,499,51,446,68,155,134,62,5,174,3
120,481,36,401,129,57,350,45,18,365,4
102,309,32,126,270,163,69,76,22,151,5
157,304,98,14,52,310,206,68,82,315,2
137,2,10,477,185,483,422,99,20,131,1
461,344,5,181,472,404,418,10,13,3,5
113,63,86,299,303,19,277,8,43,422,4
492,8,51,180,443,26,405,24,44,104,2
266,319,2,452,60,189,309,24,86,383,2
156,328,36,160,111,490,392,35,98,461,2
451,115,7,99,347,451,380,15,32,241,2
431,69,68,25,52,147,428,44,68,266,0
400,264,42,39,158,64,363,84,7,224,2
380,384,50,122,351,213,493,24,21,313,3
232,162,64,396,396,113,186,19,91,3,3
91,182,35,266,335,482,387,54,88,441,4
255,303,80,394,159,407,325,98,23,205,4
181,295,98,128,348,143,478,38,49,367,1
403,471,55,39,447,105,83,48,77,252,0
76,376,76,239,377,318,157,43,91,100,4
191,277,99,248,31,265,493,98,51,135,4
37,25,17,115,454,411,418,51,24,351,2
347,337,19,279,360,490,458,80,20,14,0
162,425,2,130,465,455,410,6,94,70,5
97,157,43,84,216,223,237,69,66,491,1
157,433,16,2,87,418,101,72,48,453,0
308,71,72,200,439,422,208,86,2,495,2
185,33,72,101,181,52,125,10,79,483,3
477,459,7,207,292,367,164,61,15,173,3
359,180,90,380,303,310,248,27,80,170,1
43,42,77,277,63,84,494,66,51,92,2
325,200,97,164,274,284,265,45,79,200,0
55,355,60,315,235,198,388,74,58,401,0
421,336,79,21,349,194,374,60,65,123,5
436,142,32,349,268,390,157,1,16,256,0
338,412,14,258,148,303,299,92,51,291,5
274,97,64,331,293,399,163,96,43,53,2
67,137,18,136,178,255,474,56,80,385,2
13,298,80,361,286,272,272,51,65,417,5
4,124,79,440,460,325,47,89,14,363,3
271,252,24,260,204,30,81,25,23,336,0
278,273,95,425,37,40,449,50,5,224,4
66,187,78,412,72,245,236,67,94,324,4
192,247,15,94,298,380,426,44,16,319,1
295,312,39,340,120,280,80,90,80,313,1
370,249,14,86,350,73,256,87,80,293,2
104,406,75,295,65,429,108,72,58,382,1
169,85,68,406,276,424,376,0,30,352,2
168,6,67,152,476,349,377,20,71,334,2
105,234,7,227,266,493,39,92,46,208,0
326,397,16,43,108,185,207,57,85,236,4
174,484,29,85,263,215,153,49,38,146,3
197,453,89,13,33,138,404,58,31,206,1
28,499,33,221,460,256,131,30,84,86,5
70,494,14,319,170,147,214,41,53,254,3
334,409,9,323,1,460,370,2,50,383,2
211,461,82,336,237,218,12,59,44,431,5
289,337,66,157,431,331,12,75,39,229,5
354,399,36,450,294,460,229,86,11,113,0
498,258,67,95,35,324,394,6,47,404,3
326,208,43,137,497,422,397,94,88,53,0
177,0,34,179,85,479,128,57,22,355,1
241,101,18,64,357,120,167,83,96,177,1
361,274,17,259,75,251,116,56,57,227,4
53,28,68,383,356,478,453,0,62,82,1
474,31,18,403,350,167,216,70,88,382,5
305,28,71,440,391,448,176,68,9,217,0
290,232,75,493,393,429,248,40,71,205,5
190,193,77,128,161,100,140,7,0,334,0
294,59,11,275,28,336,338,42,27,25,0
116,247,82,66,75,403,363,61,2,239,5
386,470,84,419,140,203,252,33,49,8,3
323,330,94,436,25,467,498,87,76,364,3
358,472,63,349,211,178,225,36,15,129,1
497,222,18,364,84,311,378,33,52,357,1
355,405,27,436,364,12,483,81,29,66,2
456,138,55,348,266,145,406,54,47,15,5
79,238,40,200,360,390,401,34,43,29,1
108,82,20,224,430,280,85,92,83,3,1
435,395,19,78,42,487,439,92,92,342,1
385,360,25,212,296,90,315,32,36,170,2
54,137,61,449,245,496,332,63,11,437,2
38,253,7,170,249,293,58,36,40,114,2
496,280,50,156,174,447,129,69,21,262,5
431,337,27,392,489,249,341,61,59,219,0
39,103,98,234,367,292,279,52,8,471,3
3,132,91,153,261,144,480,59,26,461,3
284,225,43,8,98,95,145,35,44,308,2
394,299,5,325,195,199,244,66,32,373,3
484,98,73,298,258,476,355,57,32,154,3
328,41,29,185,99,236,270,99,70,93,3
33,192,66,492,379,288,279,25,99,180,4
208,232,40,113,396,435,34,27,49,55,0
469,420,41,118,89,211,48,25,28,264,3
142,493,13,442,301,457,52,84,3,481,5
242,399,77,259,344,491,467,79,33,27,2
184,357,7,114,307,124,498,99,37,458,2
141,5,82,210,115,28,54,97,16,214,3
466,114,51,39,425,51,482,28,19,266,2
255,13,24,447,224,342,152,55,95,33,4
138,331,86,111,34,391,305,51,45,444,5
339,489,32,257,465,306,7,35,63,229,1
384,178,56,483,52,165,392,55,35,219,5
190,38,66,243,259,307,251,0,14,110,3
129,173,97,393,37,131,129,10,78,485,0
497,368,98,213,5,42,464,27,46,225,0
427,183,89,302,8,450,90,40,22,73,0
297,39,10,141,301,74,105,13,93,431,4
16,283,62,245,149,216,1,88,39,297,1
468,496,3,353,467,184,48,9,88,53,0
294,316,58,434,118,245,310,4,71,468,1
265,313,93,45,350,23,191,27,35,492,4
213,225,26,23,134,339,361,25,77,313,4
95,313,89,58,111,431,156,77,72,440,3
230,311,41,473,294,278,432,44,19,499,2
231,344,15,149,53,1,115,40,0,475,1
445,316,17,392,441,288,293,28,65,443,3
382,447,69,370,369,418,242,29,91,16,0
258,281,21,313,447,179,367,24,30,480,4
152,102,76,145,465,471,76,83,49,44,3
181,260,77,224,402,126,288,62,80,367,3
485,398,5,259,4,360,350,68,59,313,1
182,245,53,187,33,486,23,10,52,107,0
444,457,52,431,474,348,410,32,29,461,2
494,372,34,172,212,174,472,40,39,397,2
255,240,31,495,386,179,462,60,76,223,2
190,129,38,5,7,89,441,18,68,439,1
14,22,94,114,295,258,403,77,36,192,1
147,43,95,392,61,451,319,68,2,112,3
428,444,8,350,386,341,192,74,43,160,3
456,413,12,273,163,421,342,69,94,240,0
322,64,22,59,383,225,272,44,1,101,1
398,467,6,328,151,486,339,39,76,155,0
76,12,12,342,329,436,275,57,6,469,4
350,402,95,405,118,304,92,19,90,279,1
201,382,73,12,39,43,125,31,46,286,1
447,463,68,27,252,206,471,37,62,308,3
178,121,33,272,114,75,473,33,99,303,3
451,158,44,407,465,105,116,77,16,177,3
312,75,24,369,295,448,375,87,75,463,3
2,440,23,418,109,491,76,95,1,180,1
69,187,73,81,90,32,55,95,26,417,4
442,256,44,148,131,139,109,6,68,387,4
223,465,66,439,17,388,105,4,46,115,4
304,450,14,97,454,29,352,40,23,360,4
80,428,4,138,17,1,376,91,96,98,2
107,130,76,408,435,20,409,96,92,197,2
205,375,93,129,499,339,276,74,56,229,2
39,157,78,55,310,29,35,86,32,383,3
110,399,27,412,433,339,250,2,96,399,5
73,208,90,264,372,381,100,15,35,160,1
257,140,53,407,99,280,415,79,56,32,4
60,114,98,457,55,469,489,60,93,128,1
492,278,78,285,177,479,405,46,0,22,2
318,176,37,488,368,56,468,35,96,413,4
47,405,51,380,87,437,471,4,21,210,1
159,388,18,478,53,6,143,36,47,0,2
449,136,64,337,82,398,205,86,85,155,2
148,462,5,365,200,260,131,18,45,370,5
380,331,90,454,59,366,388,70,99,265,1
175,465,37,322,252,118,375,46,94,364,2
295,195,98,133,3,479,446,69,76,263,0
347,392,42,201,192,81,408,85,51,19,1
75,93,15,446,111,181,353,30,26,415,5
329,107,7,422,237,233,250,24,41,371,5
141,383,81,383,241,288,301,37,53,32,3
244,317,74,357,480,323,351,97,45,338,1
327,331,31,63,328,66,9,51,17,110,0
469,346,74,451,38,404,365,57,72,232,4
250,68,36,139,148,283,240,11,38,275,4
21,444,15,466,36,216,271,71,36,359,1
247,49,49,465,1,280,208,8,32,484,5
287,69,61,269,362,264,82,1,29,236,2
462,159,72,227,1,325,416,70,63,325,1
119,402,53,116,349,465,26,94,87,433,0
5,236,39,408,257,57,445,24,58,157,1
397,174,18,482,318,330,178,85,72,112,4
220,96,15,252,492,29,34,5,64,93,2
158,467,0,145,204,31,450,39,39,460,2
129,173,31,200,188,396,463,32,43,293,0
61,78,58,407,388,217,403,12,92,481,1
349,116,19,261,173,21,32,32,71,81,4
57,457,64,191,185,220,239,67,38,180,1
16,396,39,263,43,460,85,90,30,264,5
90,497,22,211,408,241,45,55,88,12,4
367,310,56,393,466,262,228,72,53,288,5
439,64,49,256,447,77,351,60,11,151,4
188,490,4,366,269,146,93,32,4,47,2
304,158,17,404,288,27,197,86,97,438,5
61,185,10,55,458,495,193,53,22,244,5
212,456,16,242,232,139,71,80,33,201,5
15,0,12,499,223,318,148,80,72,355,0
150,464,56,0,478,455,294,62,19,390,2
366,421,12,347,257,55,270,9,96,59,3
484,425,13,307,274,457,485,83,58,426,5
240,332,57,20,191,175,271,53,54,294,2
175,1,6,418,364,177,126,5,29,151,2
481,182,73,89,436,12,434,28,52,290,1
27,480,68,393,291,126,151,94,28,483,5
224,66,66,83,454,209,266,70,33,422,3
44,22,46,390,472,362,159,58,53,198,0
218,297,38,390,155,399,138,59,92,472,3
282,305,76,178,305,176,61,56,8,51,4
441,196,52,295,315,162,158,54,53,366,3
494,75,33,179,64,216,53,8,85,426,3
37,459,4,189,104,173,376,17,63,341,1
175,75,64,22,387,153,81,43,80,33,3
212,42,55,299,381,286,451,76,84,35,0
137,121,96,345,367,285,227,47,44,1,1
488,48,98,291,461,272,95,96,17,111,2
152,278,62,434,272,363,309,85,3,53,1
261,235,86,162,254,269,444,13,87,459,0
100,433,7,47,165,291,19,29,67,64,1
221,292,52,16,139,396,6,10,25,300,5
100,96,17,210,89,19,432,86,40,341,0
446,485,72,223,346,185,189,18,72,315,0
341,203,56,179,37,378,151,76,34,95,1
29,353,82,196,327,35,368,70,93,250,3
136,399,38,385,237,448,393,52,82,281,3
0,25,13,320,113,281,289,71,9,318,2
186,476,1,227,63,414,242,27,19,460,3
99,431,84,127,275,129,158,31,71,22,0
345,160,85,351,235,75,196,58,53,460,0
167,193,92,493,119,478,4,96,30,143,3
425,267,44,143,140,120,483,15,1,369,2
368,62,35,345,232,269,316,48,65,58,2
225,11,10,410,266,35,49,90,73,120,2
277,55,68,288,207,170,51,10,51,231,0
59,367,54,334,84,381,433,60,97,361,3
362,162,25,303,51,478,320,16,92,28,5
121,403,45,414,287,291,70,51,69,350,0
343,313,48,260,462,319,453,46,56,497,5
11,29,14,108,418,123,274,16,57,72,3
478,386,48,25,162,336,208,22,99,331,1
484,194,11,307,386,127,40,62,75,176,2
329,469,87,343,34,499,379,80,38,462,4
75,149,43,367,395,464,121,99,62,203,0
423,140,21,142,429,370,409,0,96,276,0
435,109,8,336,199,200,133,49,74,215,1
267,202,64,451,165,359,39,81,80,100,4
44,127,15,259,289,249,314,99,42,164,0
259,97,30,348,350,297,432,95,0,263,3
410,225,33,357,88,278,79,75,51,183,0
481,151,35,402,79,167,349,88,95,83,4
29,3,67,256,289,76,45,34,74,159,2
16,331,55,145,391,276,274,68,14,484,2
390,219,59,435,331,156,232,93,5,291,0
445,282,47,212,223,121,136,81,54,298,0
279,267,19,243,232,320,341,98,34,265,4
42,346,1,436,191,370,407,21,28,2,1
441,462,44,171,379,303,204,81,92,413,5
292,302,21,296,233,201,391,46,16,33,3
248,8,68,436,249,123,12,40,4,140,4
437,311,23,443,254,191,65,73,97,477,0
61,276,54,367,411,91,105,97,85,492,0
129,153,87,190,38,334,235,88,42,180,5
350,255,92,98,72,183,340,43,50,448,2
68,490,93,17,199,338,225,67,46,272,2
163,449,61,158,300,82,267,47,99,436,2
211,119,15,262,31,23,309,40,71,123,5
255,404,81,146,163,448,76,76,16,487,4
359,141,2,27,272,27,109,35,6,454,5
270,218,34,204,46,231,243,19,33,350,1
130,74,32,374,187,222,356,90,8,66,5
42,48,38,314,160,186,295,2,69,83,4
357,159,45,249,197,428,78,78,14,81,4
305,242,47,219,234,466,67,98,26,184,1
28,245,16,156,200,87,428,56,84,133,0
69,415,81,429,30,351,19,16,18,361,4
285,41,69,5,149,324,197,56,3,36,5
303,477,30,192,172,226,413,4,22,454,0
101,119,72,234,39,367,434,94,99,282,1
409,282,25,10,213,439,71,54,22,263,2
136,31,96,37,329,178,284,86,10,108,2
75,282,33,314,174,56,342,95,20,320,5
99,217,94,469,474,439,315,81,25,31,2
245,78,3,197,41,19,432,58,44,395,2
436,236,18,118,263,169,393,47,28,209,3
293,237,93,275,65,81,493,41,4,257,3
416,55,55,316,75,37,161,57,85,227,3
468,182,10,20,309,397,328,41,11,71,2
84,151,97,52,160,294,350,59,7,228,5
14,119,6,287,133,464,148,79,75,175,0
256,5,45,348,402,158,63,42,14,119,3
345,476,4,142,171,457,465,51,33,410,4
72,308,64,414,178,244,415,5,51,368,2
53,451,6,118,489,461,97,96,76,433,1
82,62,84,177,239,7,100,97,48,323,5
7,474,33,48,344,180,268,38,47,156,3
243,372,23,280,318,290,177,3,39,367,3
335,219,8,241,210,24,43,68,45,74,3
418,255,30,20,198,342,25,55,77,344,5
171,23,44,369,489,175,227,42,79,357,4
168,404,75,491,277,313,432,11,51,35,4
386,54,82,150,198,499,198,82,35,123,2
174,279,35,431,103,237,352,58,33,373,2
22,119,86,341,195,244,191,75,22,285,2
346,263,19,186,207,495,91,92,98,75,3
497,310,26,265,177,65,76,7,35,406,1
196,499,96,228,472,326,303,32,84,417,1
114,195,70,382,452,461,204,82,19,473,3
418,337,19,437,299,318,345,14,4,258,3
301,462,47,481,219,332,58,97,61,359,2
205,187,49,232,117,310,357,86,32,379,0
227,49,74,496,405,390,346,22,13,381,4
91,207,16,144,271,3,403,17,55,312,4
428,372,87,304,127,25,471,60,97,285,3
447,176,19,95,43,83,142,48,94,1,0
464,244,60,495,303,457,170,2,92,323,1
344,23,77,314,359,97,353,96,78,311,5
374,375,53,230,364,20,167,0,48,424,0
236,90,12,161,301,178,381,18,48,21,0
350,242,40,352,327,90,65,2,44,25,3
208,481,45,124,143,142,493,80,91,126,1
192,191,20,404,351,488,322,18,81,361,0
494,179,5,352,344,433,150,46,22,120,3
267,302,88,72,277,220,86,31,18,449,2
474,426,23,165,261,435,28,77,42,196,3
23,459,17,224,13,112,334,83,39,441,1
363,266,89,243,364,130,245,78,57,294,4
97,413,64,442,335,52,142,47,88,145,3
498,105,9,38,110,206,414,80,48,150,3
294,447,49,468,55,288,326,71,22,41,0
351,301,49,408,138,437,442,31,5,116,1
349,433,53,203,496,336,340,21,15,350,5
452,325,52,363,289,93,433,28,78,69,4
258,334,3,388,111,461,61,47,79,345,2
265,492,71,187,77,248,496,88,6,289,2
48,229,21,336,270,129,485,3,71,231,5
69,457,71,282,33,239,230,62,96,300,5
173,374,77,336,445,447,347,48,68,301,1
91,1,37,133,110,443,33,91,6,462,0
231,107,58,395,301,135,166,93,44,436,2
395,145,43,94,163,97,382,41,55,455,3
10,499,5,33,23,319,73,55,38,489,0
94,337,99,231,242,252,143,51,9,446,2
420,88,19,301,304,125,356,68,51,57,3
148,451,47,248,176,183,382,99,28,390,4
498,236,30,464,113,302,424,2,35,455,5
5,91,8,103,36,5,428,86,15,413,4
355,314,72,147,392,324,207,81,94,482,1
60,212,18,69,263,492,123,73,69,253,3
407,264,93,43,223,224,429,0,35,485,1
194,80,50,43,239,356,81,6,0,492,0
332,318,94,100,287,384,354,8,2,123,4
20,331,35,259,46,112,55,95,98,380,5
83,342,27,389,190,213,377,80,52,13,3
418,282,99,177,440,116,287,34,22,7,5
252,46,79,447,162,192,336,90,77,60,5
217,177,87,247,297,236,369,25,21,271,3
400,169,54,407,358,370,20,61,2,75,1
154,146,88,463,486,37,56,83,70,438,3
23,42,79,351,154,300,414,12,7,402,0
256,177,22,386,186,407,239,83,97,362,2
288,141,18,372,243,425,117,97,11,295,2
77,255,87,470,102,248,328,53,83,279,4
417,178,38,365,123,153,121,26,50,112,4
324,43,11,50,423,309,21,16,0,184,4
85,422,94,53,12,199,445,1,41,447,4
263,467,77,344,140,189,48,36,43,350,3
117,162,87,252,484,299,146,98,57,291,5
16,318,12,485,442,226,273,92,89,104,3
58,61,88,107,223,314,292,98,12,210,2
234,476,95,266,209,416,245,67,0,351,4
408,478,4,23,299,71,37,15,60,248,3
16,477,15,106,219,232,268,41,33,470,2
214,235,41,378,406,8,394,77,66,486,3
28,208,43,450,149,78,313,85,68,6,4
94,8,84,469,316,207,131,44,26,157,2
367,387,97,108,16,47,348,6,60,324,5
106,11,88,315,266,36,287,41,2,70,1
76,390,27,226,405,487,36,96,41,141,2
375,13,82,87,329,312,92,43,26,402,2
383,312,42,330,437,120,465,26,7,7,0
387,366,19,367,160,65,283,78,4,488,3
118,97,66,85,225,179,269,27,70,90,0
256,41,85,91,285,266,100,2,90,251,3
364,8,64,433,158,302,313,67,76,438,5
161,430,14,166,83,376,369,38,73,478,0
248,318,69,292,335,224,469,34,18,389,1
61,61,83,263,123,281,225,83,36,97,4
27,415,88,217,276,493,400,93,73,56,3
